"state","county","collection_date","date_detected","hpai_strain","bird_species","woah_classification","sampling_method","submitting_agency","date","order"
"North Carolina","Hyde",2022-01-08,"1/20/2022","EA H5N1","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Hyde",2022-01-08,"1/20/2022","EA H5","gadwall","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Hyde",2022-01-08,"1/20/2022","EA H5","gadwall","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5","mallard","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","gadwall","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","northern pintail","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5","northern pintail","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5","northern pintail","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","gadwall","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","mallard","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","northern shoveler","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5N1","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
"North Carolina","Pamlico",2022-01-08,"1/20/2022","EA H5","american wigeon","Wild bird","Hunter harvest","NWDP","2022-01","Anseriformes"
